#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
424,Tim Anderson,LAA,23,92,98,24,18,4,0,1,10,8,4,0,23,1,1,0,2,1,0.256
425,Mark Canha,MIL,36,131,152,32,22,6,0,3,17,15,15,0,31,4,1,0,2,0,0.241
426,Anthony Rizzo,,57,211,240,49,33,9,0,7,26,27,20,1,50,6,2,0,1,0,0.233
427,Hunter Goodman,COL,74,271,294,64,34,15,1,14,35,40,17,0,76,3,2,1,2,1,0.237
428,Nelson Velázquez,KCR,29,108,120,25,14,5,0,5,14,15,10,0,33,1,1,0,2,0,0.228
429,Dominic Canzone,SEA,13,47,52,11,7,2,0,2,6,6,4,0,12,0,0,0,0,0,0.240
430,Drew Millas,WSN,11,37,42,9,6,2,0,1,4,4,4,0,8,0,0,0,1,0,0.241
431,Ronny Mauricio,NYM,10,37,40,9,6,2,0,1,5,5,2,0,8,0,0,0,1,0,0.248
432,Bryan Ramos,CHW,28,102,113,24,15,4,0,4,12,12,8,0,26,1,1,0,1,0,0.231
433,Adam Frazier,PIT,53,197,217,48,34,10,1,3,21,20,16,0,36,3,2,1,3,1,0.244
434,Grant McCray,SFG,28,98,109,22,14,5,1,3,11,11,8,0,35,1,1,0,3,1,0.220
435,Logan Driscoll,TBR,8,27,30,6,4,1,0,1,3,3,2,0,8,0,0,0,0,0,0.228
436,Hao-Yu Lee,DET,10,36,39,9,6,2,0,1,4,4,3,0,8,0,0,0,1,0,0.248
437,Drew Waters,KCR,19,69,77,16,10,4,1,2,8,8,7,0,23,1,1,0,2,1,0.236
438,Joey Gallo,CHW,53,184,219,33,17,5,0,10,24,24,30,0,83,2,1,0,2,1,0.178
439,Taylor Trammell,HOU,18,62,72,13,8,3,0,2,8,8,8,0,23,1,1,0,2,1,0.208
440,Vinny Capra,MIL,28,99,112,23,17,5,0,1,11,10,10,0,24,1,1,0,1,0,0.233
441,Jared Serna,MIA,23,84,92,19,13,5,0,2,9,9,6,0,18,1,1,0,2,1,0.230
442,Max Muncy,ATH,13,48,53,11,7,2,0,1,5,5,4,0,15,1,0,0,1,0,0.223
443,Tom Murphy,SFG,34,121,136,27,17,5,0,4,14,15,12,0,37,1,1,0,1,0,0.225
444,J.D. Davis,LAA,26,98,110,22,14,4,0,3,12,12,10,0,35,1,1,0,0,0,0.227
445,Jose Herrera,ARI,18,62,70,14,10,3,0,1,7,6,7,0,16,0,1,0,1,0,0.226
446,Henry Davis,PIT,17,60,68,13,9,3,0,2,7,7,7,0,18,1,0,0,1,0,0.224
447,Gage Workman,CHC,16,60,66,13,8,3,0,1,7,6,5,0,21,0,0,0,2,1,0.222
448,J.C. Escarra,NYY,9,33,37,7,5,2,0,1,4,4,3,0,7,0,0,0,0,0,0.222
449,David Peralta,,50,185,203,46,31,10,0,5,21,22,15,0,43,2,1,1,2,0,0.251
450,Jordan Beck,COL,100,350,390,85,54,18,2,11,43,43,33,1,106,3,3,1,9,2,0.243
451,Joey Wiemer,KCR,34,118,133,26,17,6,0,3,14,13,12,0,38,1,1,0,3,1,0.217
452,Casey Schmitt,SFG,11,41,45,10,7,2,0,1,5,5,3,0,10,0,0,0,1,0,0.239
453,Tyler Locklear,SEA,23,81,92,18,11,4,0,3,10,9,8,0,26,2,1,0,1,0,0.219
454,Sam Huff,SFG,11,39,42,8,5,2,0,1,4,4,3,0,14,0,0,0,0,0,0.215
